#,Age,City,College,Conference,Division,Exp.,Ht.,Name,Pos.,Team,Team Logo,Team Roster,Wt.
10,25,"Houston, TX",Clemson,AFC,AFC-South,4,6-1,"Hopkins, DeAndre",WR,Texans,https://cpt.azureedge.net/NFLTeamImages/texans.png,http://www.houstontexans.com/team/roster.html,215
10,25,"Miami, FL",Oklahoma,AFC,AFC-East,5,6-0,"Stills, Kenny",WR,Dolphins,https://cpt.azureedge.net/NFLTeamImages/dolphins.png,http://www.miamidolphins.com/team/player-roster.html,195
10,25,"Pittsburg, PA",Clemson,AFC,AFC-North,3,6-4,"Bryant, Martavis",WR,Steelers,https://cpt.azureedge.net/NFLTeamImages/steelers.png,http://www.steelers.com/team/roster.html,211
10,25,"San Francisco, CA",South Carolina,NFC,NFC-West,4,5-9,"Ellington, Bruce",WR,49ers,https://cpt.azureedge.net/NFLTeamImages/49ers.png,http://www.49ers.com/team/roster.html,197
10,25,"Seattle, WA",Colorado,NFC,NFC-West,4,6-0,"Richardson, Paul",WR,Seahawks,https://cpt.azureedge.net/NFLTeamImages/seahawks.png,http://www.seahawks.com/team/roster,183
10,25,"Washington, DC",Utah,NFC,NFC-East,1,6-2,"Thompson, Kendal",WR,Redskins,https://cpt.azureedge.net/NFLTeamImages/redskins.png,http://www.redskins.com/team/roster.html,196
11,25,"Cleveland, OH",Brigham Young,AFC,AFC-North,1,6-1,"Leslie, Jordan",WR,Browns,https://cpt.azureedge.net/NFLTeamImages/browns.png,http://www.clevelandbrowns.com/team/roster.html,209
11,25,"Jacksonville, FK",Southern California,AFC,AFC-South,4,6-0,"Lee, Marqise",WR,Jaguars,https://cpt.azureedge.net/NFLTeamImages/jaguars.png,http://www.jaguars.com/team/roster.html,196
11,25,"San Diego, CA",Connecticut,AFC,AFC-West,3,6-2,"Davis, Geremy",WR,Chargers,https://cpt.azureedge.net/NFLTeamImages/chargers.png,http://www.chargers.com/team/roster,217
13,25,"Cleveland, OH",LSU,AFC,AFC-North,4,6-1,"Wright, James",WR,Browns,https://cpt.azureedge.net/NFLTeamImages/browns.png,http://www.clevelandbrowns.com/team/roster.html,201
13,25,"Dallas, TX",Florida Atlantic,NFC,NFC-East,3,5-9,"Whitehead, Lucky",WR,Cowboys,https://cpt.azureedge.net/NFLTeamImages/cowboys.png,http://www.dallascowboys.com/team/roster,180
13,25,"Denver, CO",Northwestern,AFC,AFC-West,3,6-3,"Siemian, Trevor",QB,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,220
13,25,"San Diego, CA",California,AFC,AFC-West,5,6-2,"Allen, Keenan",WR,Chargers,https://cpt.azureedge.net/NFLTeamImages/chargers.png,http://www.chargers.com/team/roster,211
14,25,"Atlanta, GA",East Carolina,NFC,NFC-South,3,5-10,"Hardy, Justin",WR,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,192
14,25,"Glendale, AZ",UAB,NFC,NFC-West,3,5-10,"Nelson, J.J.",WR,Cardinals,https://cpt.azureedge.net/NFLTeamImages/cardinals.png,http://www.azcardinals.com/roster/player-roster.html,160
14,25,"St. Louis, MO",Oregon State,NFC,NFC-West,2,6-6,"Mannion, Sean",QB,Rams,https://cpt.azureedge.net/NFLTeamImages/rams.png,http://www.therams.com/team/roster.html,231
15,25,"Cleveland, OH",West Virginia,AFC,AFC-North,2,5-8,"Alford, Mario",WR,Browns,https://cpt.azureedge.net/NFLTeamImages/browns.png,http://www.clevelandbrowns.com/team/roster.html,177
15,25,"Tampa, FL",Oregon,NFC,NFC-South,4,5-11,"Huff, Josh",WR,Buccaneers,https://cpt.azureedge.net/NFLTeamImages/bucs.png,http://www.buccaneers.com/team-and-stats/roster.html,206
15,25,"Washington, DC",Coastal Carolina,NFC,NFC-East,2,6-1,"Hazel, Matt",WR,Redskins,https://cpt.azureedge.net/NFLTeamImages/redskins.png,http://www.redskins.com/team/roster.html,195
16,25,"Baltimore, MD",Washington State,AFC,AFC-North,2,6-2,"Mayle, Vince",WR,Ravens,https://cpt.azureedge.net/NFLTeamImages/ravenss.png,http://www.baltimoreravens.com/team/roster.html,228
16,25,"Denver, CO",Michigan State,AFC,AFC-West,3,6-1,"Fowler III, Bennie",WR,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,212
16,25,"Oakland, CA",Cincinnati,AFC,AFC-West,2,6-0,"Holton, Johnny",WR,Raiders,https://cpt.azureedge.net/NFLTeamImages/raiders.png,http://www.raiders.com/team/roster.html,190
16,25,"San Diego, CA",Western Oregon,AFC,AFC-West,3,6-4,"Williams, Tyrell",WR,Chargers,https://cpt.azureedge.net/NFLTeamImages/chargers.png,http://www.chargers.com/team/roster,205
16,25,"Tampa, FL",North Greenville,NFC,NFC-South,2,6-0,"Martino, Freddie",WR,Buccaneers,https://cpt.azureedge.net/NFLTeamImages/bucs.png,http://www.buccaneers.com/team-and-stats/roster.html,195
17,25,"Foxboro, MA",Alabama,AFC,AFC-East,2,6-0,"White, DeAndrew",WR,Patriots,https://cpt.azureedge.net/NFLTeamImages/patriots.png,http://www.patriots.com/team/roster,192
17,25,"Nashville, TN",Vanderbilt,AFC,AFC-South,1,5-11,"Krause, Jonathan",WR,Titans,https://cpt.azureedge.net/NFLTeamImages/titans.png,http://www.titansonline.com/team/roster.html,190
17,25,"St. Louis, MO",Southern California,NFC,NFC-West,5,6-0,"Woods, Robert",WR,Rams,https://cpt.azureedge.net/NFLTeamImages/rams.png,http://www.therams.com/team/roster.html,193
18,25,"Jacksonville, FK",Old Dominion,AFC,AFC-South,1,6-0,"Pinkard, Larry",WR,Jaguars,https://cpt.azureedge.net/NFLTeamImages/jaguars.png,http://www.jaguars.com/team/roster.html,196
18,25,"San Francisco, CA",Georgia Tech,NFC,NFC-West,1,6-2,"Smelter, DeAndre",WR,49ers,https://cpt.azureedge.net/NFLTeamImages/49ers.png,http://www.49ers.com/team/roster.html,227
18,25,"Tampa, FL",Toledo,NFC,NFC-South,1,5-9,"Reedy, Bernard",WR,Buccaneers,https://cpt.azureedge.net/NFLTeamImages/bucs.png,http://www.buccaneers.com/team-and-stats/roster.html,175
19,25,"Buffalo, NY",Murray State,AFC,AFC-East,3,6-0,"Powell, Walter",WR,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,189
2,25,"Detroit, MI",Wofford,NFC,NFC-North,1,6-1,"Redfern, Kasey",P,Lions,https://cpt.azureedge.net/NFLTeamImages/lions.png,http://www.detroitlions.com/team/roster.html,204
2,25,"St. Louis, MO",South Carolina,NFC,NFC-West,1,6-3,"Thompson, Dylan",QB,Rams,https://cpt.azureedge.net/NFLTeamImages/rams.png,http://www.therams.com/team/roster.html,218
